LineName,PointIndex,initX,initY,initZ,QEdepX,QEdepY,QEdepZ
CLS1,1,-19.6082,19.6082,898.88,-20.1405,20.9717,871.168
CLS1,2,-30.3081,54.2665,851.086,-28.0119,53.7571,841.62
CLS1,3,-41.0079,88.9249,803.291,-35.3289,87.7734,794.973
CLS1,4,-51.7078,123.583,755.497,-45.8816,123.794,748.178
CLS1,5,-62.4076,158.241,707.702,-59.5835,159.245,704.305
CLS1,6,-73.1075,192.9,659.908,-68.6193,195.543,658.658
CLS1,7,-83.8073,227.558,612.113,-75.3871,223.835,615.383
CLS1,8,-94.5072,262.216,564.319,-89.6488,263.139,562.855
CLS1,9,-105.207,296.875,516.524,-103.979,299.326,518.744
CLS1,10,-115.907,331.533,468.73,-109.73,324.086,470.789
CLS1,11,-126.607,366.191,420.935,-129.383,368.435,420.945
CLS1,12,-137.307,400.85,373.141,-140.062,404.137,375.614
CLS1,13,-148.006,435.508,325.346,-145.509,438.241,324.807
CLS1,14,-158.706,470.166,277.552,-162.899,470.487,280.7
CLS1,15,-169.406,504.825,229.757,-163.719,506.792,232.823
CLS1,16,-180.106,539.483,181.963,-172.257,540.712,183.686
CLS1,17,-190.806,574.141,134.168,-181.256,578.97,139.66
CLS1,18,-201.506,608.799,86.3738,-195.51,609.553,81.1895
CLS1,19,-212.206,643.458,38.5792,-206.047,639.374,39.1986
CLS1,20,-222.905,678.116,-9.21526,-216.891,676.276,-7.27417
CLS1,21,-233.605,712.774,-57.0098,-222.068,708.999,-52.995
CLS1,22,-244.305,747.433,-104.804,-243.167,738.959,-100.188
CLS1,23,-255.005,782.091,-152.599,-252.208,770.247,-143.599
CLS2,24,-258.407,789.798,-198.076,-254.004,782.751,-195.773
CLS2,25,-249.532,736.826,-224.817,-239.569,729.433,-213.734
CLS2,26,-240.656,683.853,-251.559,-231.601,675.966,-240.328
CLS2,27,-231.78,630.881,-278.301,-225.488,628.809,-267.688
CLS2,28,-222.905,577.908,-305.043,-217.299,573.783,-293.963
CLS2,29,-214.029,524.936,-331.785,-209.44,523.116,-322.805
CLS2,30,-205.153,471.963,-358.527,-193.134,471.69,-363.712
CLS2,31,-196.278,418.99,-385.269,-188.444,419.211,-378.747
CLS2,32,-187.402,366.018,-412.011,-185.344,366.876,-403.398
CLS2,33,-178.526,313.045,-438.753,-179.922,316.141,-443.329
CLS2,34,-169.65,260.073,-465.495,-162.397,257.683,-467.927
CLS2,35,-160.775,207.1,-492.236,-164.812,199.166,-493.577
CLS2,36,-151.899,154.128,-518.978,-155.883,158.324,-520.509
CLS2,37,-143.023,101.155,-545.72,-148.651,106.416,-546.604
CLS2,38,-134.148,48.1825,-572.462,-134.395,47.6866,-571.806
CLS2,39,-125.272,-4.79009,-599.204,-119.71,-0.992583,-590.739
CLS2,40,-116.396,-57.7627,-625.946,-110.787,-52.7965,-615.926
CLS2,41,-107.521,-110.735,-652.688,-104.57,-102.623,-637.214
CLS2,42,-98.6449,-163.708,-679.43,-93.3799,-155.693,-663.964
CLS2,43,-89.7692,-216.68,-706.172,-85.0455,-209.821,-683.453
CLS2,44,-80.8935,-269.653,-732.914,-73.8626,-257.768,-727.169
CLS2,45,-72.0179,-322.625,-759.655,-66.6087,-305.937,-748.703
CLS2,46,-64.8741,-356.979,-785.228,-59.3011,-347.164,-739.327
CLS3,47,-61.0201,-337.968,-727.182,-56.366,-321.035,-698.345
CLS3,48,-58.1039,-326.454,-668.37,-50.7427,-312.362,-649.966
CLS3,49,-55.1876,-314.939,-609.557,-50.8727,-315.474,-593.751
CLS3,50,-52.2714,-303.424,-550.745,-46.2946,-304.015,-552.541
CLS3,51,-49.3552,-291.91,-491.932,-54.4671,-283.106,-491.279
CLS3,52,-46.439,-280.395,-433.12,-41.6504,-285.301,-435.841
CLS3,53,-43.5228,-268.88,-374.307,-45.4163,-272.419,-379.413
CLS3,54,-40.6066,-257.366,-315.495,-46.7582,-261.652,-319.637
CLS3,55,-37.6903,-245.851,-256.682,-41.1956,-242.723,-260.64
CLS3,56,-34.7741,-234.336,-197.87,-40.5515,-240.791,-204.612
CLS3,57,-31.8579,-222.822,-139.057,-38.2253,-227.073,-144.179
CLS3,58,-28.9417,-211.307,-80.2449,-32.9355,-212.936,-85.3368
CLS3,59,-26.0255,-199.793,-21.4324,-28.5773,-202.478,-22.328
CLS3,60,-23.1093,-188.278,37.3801,-26.0344,-190.078,33.668
CLS3,61,-20.193,-176.763,96.1926,-22.8889,-178.741,91.7852
CLS3,62,-17.2768,-165.249,155.005,-20.8238,-170.217,145.084
CLS3,63,-14.3606,-153.734,213.818,-19.3411,-160.808,206.932
CLS3,64,-11.4444,-142.219,272.63,-15.1497,-147.783,266.863
CLS3,65,-8.52817,-130.705,331.443,-14.2653,-124.203,327.71
CLS3,66,-5.61195,-119.19,390.255,-12.0157,-123.344,384.181
CLS3,67,-2.69574,-107.675,449.067,-5.21522,-102.83,453.869
CLS3,68,0.220481,-96.1606,507.88,-2.68645,-97.7609,510.886
CLS3,69,3.1367,-84.646,566.692,7.44162,-86.8887,574.036
CLS3,70,6.05292,-73.1313,625.505,-1.10528,-69.4075,625.342
CLS3,71,8.96913,-61.6166,684.317,14.4318,-58.9732,681.613
CLS3,72,11.8854,-50.102,743.13,16.7913,-46.1327,739.676
CLS3,73,14.8016,-38.5873,801.942,18.0202,-32.4999,794.761
CLS3,74,17.7178,-27.0727,860.755,19.7306,-21.5273,853.295
